,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,age,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
96,Jeremy Mathieu,Valencia,D(CL),14(3),1234,1,2,2,-,0.9,70.4,1.7,-,7.10,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
97,Thiago,Barcelona,M(C),0(1),13,1,-,-,-,2,83.3,-,-,7.09,19.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
98,Ricardo León,Tenerife,M(CR),29,2525,2,1,9,-,0.9,76,0.8,1,7.09,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
99,Marcos Senna,Villarreal,M(R),26(4),2203,1,2,5,-,1.4,80.1,1.3,-,7.09,34.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
100,Henrique,Racing Santander,D(CR),21(1),1921,1,-,5,-,0.3,76.8,1.3,-,7.09,24.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
101,Alberto Lora,Sporting Gijon,D(R),31(1),2751,-,4,7,-,0.1,66.9,0.3,2,7.08,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
102,Renato,Sevilla,M(C),30(3),2608,4,3,2,-,0.8,80.5,1,1,7.08,31.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
103,Giuseppe Rossi,Villarreal,FW,27(7),2333,10,3,3,-,2.5,80.6,0.3,2,7.07,23.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
104,Pablo Hernández,Valencia,M(CLR),25(8),2180,5,6,1,-,1.5,75.8,0.2,2,7.07,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
105,Ustaritz Aldekoaotalora,Athletic Bilbao,DMC,15,1253,1,-,2,2,0.1,66.9,1.2,-,7.07,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
106,Sergio,Osasuna,DMC,24,2104,-,1,1,2,0.3,64.6,2.4,2,7.06,33.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
107,José Antonio Reyes,Atletico,M(CLR),19(11),1727,2,5,3,1,1.8,67.7,0.8,1,7.06,27.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
108,Míchel,Sporting Gijon,M(C),12(1),984,-,1,2,1,1,78.1,1.6,2,7.06,25.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
109,David Albelda,Valencia,M(C),22(6),2048,1,1,11,-,0.4,78.7,0.7,-,7.06,33.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
110,Joaquín,Valencia,FW,17(11),1612,2,4,2,-,0.6,80.2,0.6,2,7.06,29.0,,,,,,,,,,,,,,,,,,,LaLiga,2009/2010
