,name,club,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
0,Henrikh Mkhitaryan,Borussia Dortmund,FW,28(3),2578,11,15,5,-,2.6,75.6,0.8,11,7.90,1.7,1.5,1.7,-,0.5,0.8,0.1,-,2.7,2.6,1.9,0.6,2.2,1.3,43.4,1,1.3,0.1,Bundesliga,2015/2016
1,Park Joo-Ho,Mainz,DMC,1,90,-,-,-,-,-,91.9,-,-,7.68,6,3,1,2,2,1,-,-,-,2,1,-,1,-,37,1,3,-,Bundesliga,2015/2016
2,Raffael,Borussia M.Gladbach,FW,30(1),2690,13,10,2,-,2.3,81.8,0.4,6,7.64,1.2,0.8,0.6,-,-,1,0.1,-,1.8,2.5,2,0.5,1.2,1.4,38,0.4,1.1,-,Bundesliga,2015/2016
3,Robert Lewandowski,Bayern,FW,29(3),2654,30,2,2,-,4.8,79.2,1.7,6,7.61,0.4,0.2,1.1,-,0.5,0.2,-,-,0.7,1.2,1.5,1.2,1.5,2.7,23.8,-,0.4,-,Bundesliga,2015/2016
4,Caiuby,Augsburg,FW,25(1),2218,4,5,11,-,2.6,64.1,7.6,3,7.60,1.5,1.3,2.5,-,1.6,0.8,0.4,-,1.5,1.7,1.4,0.3,1.6,1.8,28.6,0.3,0.8,-,Bundesliga,2015/2016
5,Douglas Costa,Bayern,M(CLR),23(4),1973,4,9,1,-,2.4,80.1,0.1,3,7.56,0.7,0.6,1,-,0.2,0.4,-,-,1.8,3.3,0.8,0.4,0.7,1.3,34.8,1.3,1,-,Bundesliga,2015/2016
6,Lars Bender,Leverkusen,M(CR),11,887,1,1,3,-,1,78.7,4,3,7.54,4.7,3.4,2,0.2,1.5,1.5,0.1,-,0.7,0.5,1.2,0.2,0.5,0.7,48.3,0.1,2,0.1,Bundesliga,2015/2016
7,Kingsley Coman,Bayern,FW,20(3),1688,4,6,-,-,1.6,84.5,0.6,2,7.52,0.6,0.4,0.6,-,0.2,0.6,-,-,1.5,3.7,2,0.1,0.7,1.3,34.8,0.7,0.3,-,Bundesliga,2015/2016
8,Thomas Müller,Bayern,FW,26(5),2345,20,5,4,-,3,77,1.7,3,7.50,0.8,0.5,0.8,-,0.5,0.6,-,-,1.9,1.2,0.9,0.4,1.1,1.5,34.1,0.2,0.9,-,Bundesliga,2015/2016
9,Lars Stindl,Borussia M.Gladbach,FW,29(1),2597,7,8,5,-,2.2,80.3,1.5,1,7.44,1.5,1.4,2.3,-,0.6,1,0.2,-,1.8,1.2,2,0.5,1.4,1.4,47.3,0.1,1.4,0.2,Bundesliga,2015/2016
10,Ilkay Gündogan,Borussia Dortmund,M(C),22(3),1994,1,3,1,-,2,87.9,0.8,1,7.43,1.5,2.3,1,-,0.6,1.3,0.1,-,1,2.2,1.8,-,1.1,1,81,0.1,3.5,0.1,Bundesliga,2015/2016
11,Julian Draxler,Schalke,FW,3,253,1,-,1,-,3.3,81.8,1.7,1,7.43,0.7,1,1.3,-,-,0.7,-,-,0.7,4,1,0.3,1,0.7,36.7,0.3,5.7,-,Bundesliga,2015/2016
12,Daniel Ginczek,Stuttgart,FW,7,630,3,1,1,-,2.6,61.1,6.1,1,7.41,0.6,0.3,1.6,-,0.7,0.6,-,-,1.7,2.1,2.3,0.7,1.9,1.9,25,-,0.1,0.1,Bundesliga,2015/2016
13,Arturo Vidal,Bayern,M(CR),24(6),2048,4,5,3,-,1.7,90.2,1.6,4,7.40,2.7,1.3,2,0.1,0.6,1,0.2,-,1.6,0.2,1.3,0.2,0.4,0.5,67.8,0.4,3.3,0.1,Bundesliga,2015/2016
14,Eric Choupo-Moting,Schalke,FW,21(7),1865,6,2,1,-,1.8,72.5,2.8,3,7.38,1.3,1.2,1.6,-,0.8,0.7,0.1,-,1.3,3.1,1.6,0.5,1.5,2.1,24.9,0.5,0.9,-,Bundesliga,2015/2016
15,Granit Xhaka,Borussia M.Gladbach,M(C),28,2368,3,1,5,3,1.2,85.1,3.4,1,7.35,2.4,2.7,2.6,0.1,1.6,0.8,0.3,-,0.8,1,1.8,-,0.8,1,82.7,-,7.4,0.1,Bundesliga,2015/2016
16,Mats Hummels,Borussia Dortmund,D(C),29(1),2496,2,2,1,-,0.4,86.3,3.9,3,7.35,2,2.5,0.6,0.8,3.1,0.3,0.1,1,0.2,0.8,0.5,-,0.3,0.5,78.8,0.1,4.3,-,Bundesliga,2015/2016
17,Thiago,Bayern,M(C),16(11),1637,2,3,2,-,1.1,88.2,1,3,7.34,2.5,1.5,1.3,0.1,0.2,0.7,0.1,-,1.4,1.8,1.3,0.1,0.8,1,58.5,0.4,3.7,0.1,Bundesliga,2015/2016
18,Jonas Hector,FC Koln,M(CL),32,2859,-,4,3,-,0.3,81.8,2.6,1,7.33,1.9,2.4,0.7,0.2,2.4,0.9,0.4,-,1.8,1,1.4,-,0.7,0.7,48.9,1,2.4,-,Bundesliga,2015/2016
19,Alexander Meier,Eintracht Frankfurt,FW,19,1658,12,1,-,1,2.6,66.9,5.4,3,7.32,0.3,0.7,0.9,-,1.5,0.3,-,-,0.9,0.3,0.5,0.6,0.5,1,26.3,-,0.6,0.1,Bundesliga,2015/2016
20,Pierre-Emerick Aubameyang,Borussia Dortmund,FW,28(3),2475,25,5,4,-,3.8,69,1,2,7.31,0.2,0.3,0.9,-,0.1,0.3,0.1,-,0.9,0.5,0.5,0.9,1,1.3,16.6,0.2,0.1,-,Bundesliga,2015/2016
21,Papy Djilobodji,Werder Bremen,DMC,14,1260,2,1,6,-,1.6,67.9,5.1,1,7.31,1.1,4.1,1.2,0.8,5.9,0.4,0.9,1,0.6,0.6,0.9,0.1,0.1,0.6,47.4,0.1,5.7,-,Bundesliga,2015/2016
22,Joël Matip,Schalke,D(C),34,3060,3,3,3,-,0.9,83.4,3.5,2,7.30,1.6,3,1.5,0.5,5.4,0.3,1,-,0.4,0.4,0.7,0.1,0.2,0.4,50.1,-,4.1,0.1,Bundesliga,2015/2016
23,Ibrahima Traoré,Borussia M.Gladbach,AM(LR),17(7),1471,3,1,1,-,1.7,77.8,0.3,2,7.27,1.9,0.8,0.7,-,0.3,1,0.1,-,1.5,3.1,1.5,0.2,0.9,1,28.1,1.3,1.4,-,Bundesliga,2015/2016
24,Danilo Soares,Ingolstadt,M(L),1,90,-,-,-,-,1,41.9,2,-,7.27,3,5,2,-,1,-,-,-,-,2,6,-,1,1,31,1,-,-,Bundesliga,2015/2016
25,Alexander Hack,Mainz,D(C),7,630,-,-,1,-,0.4,81.2,3.7,-,7.26,2.4,3,0.6,0.6,4.3,0.7,0.6,-,0.1,1,0.6,-,0.3,0.1,57.7,-,5.6,-,Bundesliga,2015/2016
26,Leon Goretzka,Schalke,M(CR),23(2),1993,1,3,5,-,1.5,81.6,1.6,3,7.26,2.6,3,1.2,0.1,1.7,1.5,0.5,1,1,1.2,1.4,-,0.9,0.9,38.2,-,1.7,0.2,Bundesliga,2015/2016
