,name,club,age,position,apps,mins,goals,assists,yel,red,shots,ps%,aerials_won,motm,rating,tackles,interceptions,fouls,offsides_won,clearances,dribbled,blocks,own_goals,key_passes,dribblings,fouled,offsides,dispossed,bad_controls,avg_passes,crosses,long_passes,through_passes,league,season
57,Morgan Amalfitano,Lorient,26,M(CLR),38,3416,5,12,10,-,1.9,78.8,0.3,2,7.09,1.2,1.4,1.5,-,0.5,0.5,0.1,-,1.6,1,2.2,0.3,2.4,1.6,51.1,1.4,2.3,0.3,Ligue 1,2010/2011
58,Loic Perrin,Saint-Etienne,26,D(C),27,2353,4,1,10,-,1.1,79.7,1.1,2,7.08,3.2,2.6,2,-,2.1,0.6,0.3,1,0.9,0.1,1.7,0.1,1.1,0.9,43.9,0.1,2.5,-,Ligue 1,2010/2011
59,Raphaël Varane,Lens,18,D(C),22(1),1977,2,-,2,-,1,75.5,3,2,7.07,1.7,2.9,1.3,0.2,6.3,0.5,0.2,-,0.3,0.1,1,-,0.3,0.6,34.6,-,3.2,-,Ligue 1,2010/2011
60,Alou Diarra,Bordeaux,30,M(C),32,2800,4,1,6,2,1.1,79.6,2.7,2,7.07,2.4,2.4,2,0.1,2.8,0.8,0.3,-,0.6,0.3,0.9,-,0.7,0.5,42.1,-,1.5,-,Ligue 1,2010/2011
61,Modibo Maiga,Sochaux,24,FW,35(1),3043,15,2,6,1,2.4,70.8,3.5,4,7.07,0.5,0.3,2.1,-,0.9,0.3,-,-,0.9,0.6,1.8,0.5,2.4,2.4,27.5,0.1,0.4,-,Ligue 1,2010/2011
62,Jérémy Morel,Lorient,27,D(CL),28(1),2550,2,2,2,1,0.4,79.1,0.7,2,7.06,3.4,1.8,1,0.4,4.1,0.8,0.3,-,0.4,1,1,-,1.3,0.6,52.4,0.3,3.4,0.1,Ligue 1,2010/2011
63,Thomas Bosmel,Caen,23,Goalkeeper,3,270,-,-,-,-,-,54.9,-,-,7.06,-,-,-,-,1.7,-,-,-,-,-,1,-,-,-,23.7,-,6.7,-,Ligue 1,2010/2011
64,Rudy Mater,Valenciennes,31,D(R),26(3),2222,-,4,7,1,0.4,67.9,1,2,7.06,3.2,1.8,1.7,0.2,3.8,1,0.2,-,0.8,0.6,1,-,0.9,0.6,37.3,1.3,2.7,-,Ligue 1,2010/2011
65,Didier Digard,Nice,25,M(C),21(3),1913,-,3,4,-,0.8,73.5,1.1,1,7.06,3.1,2.5,1.7,-,1.7,1.1,0.3,-,0.6,0.5,1.3,0.1,1,0.9,48,0.3,5.5,-,Ligue 1,2010/2011
66,Cheikh M'Bengue,Toulouse,23,M(L),25,2133,-,-,5,-,0.2,73.3,1.2,3,7.05,2.9,2.6,2.4,0.5,3,0.8,0.1,-,0.6,0.7,1.7,0.2,0.5,0.8,34.5,0.2,0.8,-,Ligue 1,2010/2011
67,Hamdi Kasraoui,Lens,28,GK,6(1),548,-,-,-,-,-,64.1,-,1,7.05,-,-,-,-,0.9,-,-,-,-,-,0.1,-,-,-,20.7,-,6.6,-,Ligue 1,2010/2011
